#OpCode       ,Funct3       ,Funct7       ,ImmSext      ,Format       ,AluOperation ,AluSource    ,CsrOperation ,MdrOperation ,WbDataSrc    ,GprWrEna     ,UnknownInst  ,BranchType   ,GprUsed      ,
0000000,000,0000000,0,00,11111,00,111,0000,111,0,1,0000,000,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed OK   ,
0010011,101,0100000,0,00,10001,11,111,0000,011,1,0,0000,111,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0110011,000,0000000,0,00,00100,11,111,0000,011,1,0,0000,111,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0110011,000,0100000,0,00,00110,11,111,0000,011,1,0,0000,111,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0110011,001,0000000,0,00,10010,11,111,0000,011,1,0,0000,111,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0110011,010,0000000,0,00,00111,11,111,0000,101,1,0,0000,111,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0110011,011,0000000,0,00,00110,11,111,0000,101,1,0,0000,111,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0110011,100,0000000,0,00,00010,11,111,0000,011,1,0,0000,111,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0110011,101,0000000,0,00,10000,11,111,0000,011,1,0,0000,111,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0110011,101,0100000,0,00,10001,11,111,0000,011,1,0,0000,111,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0110011,110,0000000,0,00,00001,11,111,0000,011,1,0,0000,111,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0110011,111,0000000,0,00,00000,11,111,0000,011,1,0,0000,111,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
1110011,001,1101101,0,10,11111,00,000,0000,000,1,0,0000,101,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
1110011,010,1101101,0,10,11111,00,001,0000,000,1,0,0000,101,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
1110011,011,1101101,0,10,11111,00,010,0000,000,1,0,0000,101,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
1110011,101,1101101,0,10,11111,00,011,0000,000,1,0,0000,100,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
1110011,110,1101101,0,10,11111,00,100,0000,000,1,0,0000,100,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
1110011,111,1101101,0,10,11111,00,101,0000,000,1,0,0000,100,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
1110011,000,0000000,0,00,11111,00,111,0000,111,0,0,0000,000,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed OK   ,
1110011,000,0001000,0,00,11111,00,111,0000,111,0,0,0000,000,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed OK   ,
1110011,000,0011000,0,00,11111,00,111,0000,111,0,0,0000,000,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed OK   ,
0000011,000,1101101,1,10,00100,10,111,1000,001,1,0,0000,101,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0000011,001,1101101,1,10,00100,10,111,1001,001,1,0,0000,101,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0000011,010,1101101,1,10,00100,10,111,1010,001,1,0,0000,101,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0000011,100,1101101,0,10,00100,10,111,1100,001,1,0,0000,101,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0000011,101,1101101,0,10,00100,10,111,1011,001,1,0,0000,101,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0100011,000,1101101,0,11,00100,10,111,1110,111,0,0,0000,011,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0100011,001,1101101,0,11,00100,10,111,1111,111,0,0,0000,011,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0100011,010,1101101,0,11,00100,10,111,1101,111,0,0,0000,011,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
1101111,000,1101101,1,10,00100,01,111,0000,100,1,0,0000,100,ImmSext OK   ,Format OK   ,AluOperation ERROR,AluSource ERROR,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc ERROR,GprWrEna ERROR,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
1100111,000,1101101,1,10,00100,10,111,0000,100,1,0,0000,100,ImmSext OK   ,Format OK   ,AluOperation ERROR,AluSource ERROR,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc ERROR,GprWrEna ERROR,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
1100011,000,1101101,0,11,11111,00,111,0000,111,0,0,1000,011,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
1100011,001,1101101,0,11,11111,00,111,0000,111,0,0,1001,011,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
1100011,100,1101101,0,11,11111,00,111,0000,111,0,0,1100,011,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
1100011,101,1101101,0,11,11111,00,111,0000,111,0,0,1101,011,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
1100011,110,1101101,0,11,11111,00,111,0000,111,0,0,1110,011,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
1100011,111,1101101,0,11,11111,00,111,0000,111,0,0,1111,011,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0110011,000,0000001,0,00,11000,11,111,0000,011,1,0,0000,111,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0110011,001,0000001,0,00,01011,11,111,0000,011,1,0,0000,111,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0110011,010,0000001,0,00,01010,11,111,0000,011,1,0,0000,111,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0110011,011,0000001,0,00,01000,11,111,0000,011,1,0,0000,111,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0110011,100,0000001,0,00,01101,11,111,0000,011,1,0,0000,111,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0110011,101,0000001,0,00,01100,11,111,0000,011,1,0,0000,111,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0110011,110,0000001,0,00,01111,11,111,0000,011,1,0,0000,111,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0110011,111,0000001,0,00,01110,11,111,0000,011,1,0,0000,111,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0000000,000,0000000,0,00,11111,00,111,0000,111,0,1,0000,000,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed OK   ,
